date,name,value
2021-01-05,AFN,77.249952
2021-01-05,ALL,100.350084
2021-01-05,AMD,522.589777
2021-01-05,ANG,1.797108
2021-01-05,AOA,655.514979
2021-01-05,ARS,84.792597
2021-01-05,AUD,1.288079
2021-01-05,AWG,1.8
2021-01-05,AZN,1.701624
2021-01-05,BAM,1.594175
2021-01-05,BBD,2.021502
2021-01-05,BDT,84.906265
2021-01-05,BGN,1.590713
2021-01-05,BHD,0.377128
2021-01-05,BIF,1946.0
2021-01-05,BMD,1.0
2021-01-05,BND,1.320118
2021-01-05,BOB,6.893207
2021-01-05,BRL,5.285597
2021-01-05,BSD,1.001174
2021-01-05,BTC,2.9451412e-05
2021-01-05,BTN,73.320102
2021-01-05,BWP,10.894397
2021-01-05,BYN,2.586766
2021-01-05,BYR,19600.0
2021-01-05,BZD,2.018079
2021-01-05,CAD,1.267515
2021-01-05,CDF,1970.000062
2021-01-05,CHF,0.87823
2021-01-05,CLF,0.02522
2021-01-05,CLP,695.901138
2021-01-05,CNY,6.456297
2021-01-05,COP,3444.0
2021-01-05,CRC,612.824609
2021-01-05,CUC,1.0
2021-01-05,CUP,26.5
2021-01-05,CVE,90.349791
2021-01-05,CZK,21.255698
2021-01-05,DJF,177.720101
2021-01-05,DKK,6.048039
2021-01-05,DOP,58.249545
2021-01-05,DZD,132.265147
2021-01-05,EGP,15.699501
2021-01-05,ERN,15.000053
2021-01-05,ETB,39.250324
2021-01-05,EUR,0.813015
2021-01-05,FJD,2.027201
2021-01-05,FKP,0.733762
2021-01-05,GBP,0.73375
2021-01-05,GEL,3.298708
2021-01-05,GGP,0.733762
2021-01-05,GHS,5.870316
2021-01-05,GIP,0.733762
2021-01-05,GMD,51.675643
2021-01-05,GNF,10225.00002
2021-01-05,GTQ,7.804313
2021-01-05,GYD,209.363742
2021-01-05,HKD,7.753002
2021-01-05,HNL,24.254961
2021-01-05,HRK,6.147497
2021-01-05,HTG,72.349738
2021-01-05,HUF,291.954014
2021-01-05,IDR,13944.0
2021-01-05,ILS,3.20377
2021-01-05,IMP,0.733762
2021-01-05,INR,73.37505
2021-01-05,IQD,1461.5
2021-01-05,IRR,42105.000017
2021-01-05,ISK,126.910284
2021-01-05,JEP,0.733762
2021-01-05,JMD,142.009683
2021-01-05,JOD,0.709018
2021-01-05,JPY,102.678985
2021-01-05,KES,109.400592
2021-01-05,KGS,83.181099
2021-01-05,KHR,4054.999971
2021-01-05,KMF,401.150453
2021-01-05,KPW,900.076721
2021-01-05,KRW,1087.450505
2021-01-05,KWD,0.30358
2021-01-05,KYD,0.834325
2021-01-05,KZT,422.044895
2021-01-05,LAK,9300.000186
2021-01-05,LBP,1513.734991
2021-01-05,LKR,188.725119
2021-01-05,LRD,166.024997
2021-01-05,LSL,14.690217
2021-01-05,LTL,2.95274
2021-01-05,LVL,0.60489
2021-01-05,LYD,4.436697
2021-01-05,MAD,8.823988
2021-01-05,MDL,17.248097
2021-01-05,MGA,3839.99981
2021-01-05,MKD,50.104494
2021-01-05,MMK,1322.076847
2021-01-05,MNT,2839.114133
2021-01-05,MOP,7.994963
2021-01-05,MRO,356.999828
2021-01-05,MUR,39.404461
2021-01-05,MVR,15.403383
2021-01-05,MWK,770.000029
2021-01-05,MXN,19.904702
2021-01-05,MYR,4.0175
2021-01-05,MZN,74.901445
2021-01-05,NAD,15.009651
2021-01-05,NGN,381.492558
2021-01-05,NIO,34.930324
2021-01-05,NOK,8.46681
2021-01-05,NPR,117.312489
2021-01-05,NZD,1.37817
2021-01-05,OMR,0.38501
2021-01-05,PAB,1.001174
2021-01-05,PEN,3.628496
2021-01-05,PGK,3.527502
2021-01-05,PHP,48.120283
2021-01-05,PKR,160.479733
2021-01-05,PLN,3.686691
2021-01-05,PYG,6926.544186
2021-01-05,QAR,3.640949
2021-01-05,RON,3.960204
2021-01-05,RSD,95.60972
2021-01-05,RUB,74.170098
2021-01-05,RWF,970.0
2021-01-05,SAR,3.751464
2021-01-05,SBD,8.016037
2021-01-05,SCR,21.204951
2021-01-05,SDG,55.30203
2021-01-05,SEK,8.1789
2021-01-05,SGD,1.31741
2021-01-05,SHP,0.733762
2021-01-05,SLL,10118.000258
2021-01-05,SOS,581.00017
2021-01-05,SRD,14.153998
2021-01-05,STD,20834.863349
2021-01-05,SVC,8.760576
2021-01-05,SYP,512.842849
2021-01-05,SZL,14.980138
2021-01-05,THB,29.930145
2021-01-05,TJS,11.341066
2021-01-05,TMT,3.5
2021-01-05,TND,2.680503
2021-01-05,TOP,2.275098
2021-01-05,TRY,7.391295
2021-01-05,TTD,6.801673
2021-01-05,TWD,27.969887
2021-01-05,TZS,2321.772965
2021-01-05,UAH,28.338998
2021-01-05,UGX,3699.444109
2021-01-05,USD,1.0
2021-01-05,UYU,42.39522
2021-01-05,UZS,10449.000184
2021-01-05,VEF,9.987505
2021-01-05,VND,23090.0
2021-01-05,VUV,108.842515
2021-01-05,WST,2.501271
2021-01-05,XAF,534.663287
2021-01-05,XAG,0.036245
2021-01-05,XAU,0.000513
2021-01-05,XCD,2.70255
2021-01-05,XDR,0.691032
2021-01-05,XOF,534.509247
2021-01-05,XPF,97.375021
2021-01-05,YER,250.425017
2021-01-05,ZAR,14.977502
2021-01-05,ZMK,9001.192482
2021-01-05,ZMW,21.212771
2021-01-05,ZWL,322.000186
2021-01-06,AED,3.6732
2021-01-06,AFN,77.249691
2021-01-06,ALL,100.449971
2021-01-06,AMD,522.590027
2021-01-06,ANG,1.79375
2021-01-06,AOA,656.133017
2021-01-06,ARS,84.903204
2021-01-06,AUD,1.279591
2021-01-06,AWG,1.8
2021-01-06,AZN,1.702579
2021-01-06,BAM,1.584143
2021-01-06,BBD,2.017706
2021-01-06,BDT,84.735222
2021-01-06,BGN,1.58636
2021-01-06,BHD,0.377016
2021-01-06,BIF,1946.0
2021-01-06,BMD,1.0
2021-01-06,BND,1.315384
2021-01-06,BOB,6.87013
2021-01-06,BRL,5.314399
2021-01-06,BSD,0.999336
2021-01-06,BTC,2.7125807e-05
2021-01-06,BTN,72.995578
2021-01-06,BWP,10.885617
2021-01-06,BYN,2.572998
2021-01-06,BYR,19600.0
2021-01-06,BZD,2.014288
2021-01-06,CAD,1.266585
2021-01-06,CDF,1969.999936
2021-01-06,CHF,0.87812
